3745899;02/12/2021;08:00;02/12/2021;16:20
866153;02/12/2021;16:00;03/12/2021;00:20
5041749;02/12/2021;15:00;02/12/2021;23:20
3554170;02/12/2021;06:45;02/12/2021;19:00
3844162;02/12/2021;06:45;02/12/2021;19:00
866371;02/12/2021;06:45;02/12/2021;19:00
3923238;02/12/2021;06:45;02/12/2021;19:00
867274;02/12/2021;06:45;02/12/2021;19:00
863419;02/12/2021;06:45;02/12/2021;19:00
3934464;02/12/2021;06:45;02/12/2021;19:00
864352;02/12/2021;06:45;02/12/2021;19:00
864278;02/12/2021;06:45;02/12/2021;19:00
863689;02/12/2021;06:45;02/12/2021;19:00
5027479;02/12/2021;06:45;02/12/2021;19:00
3897839;02/12/2021;06:45;02/12/2021;19:00
5029666;02/12/2021;06:45;02/12/2021;19:00
863517;02/12/2021;06:45;02/12/2021;19:00
866756;02/12/2021;06:45;02/12/2021;19:00
3100062;02/12/2021;06:45;02/12/2021;19:00
5022758;02/12/2021;06:45;02/12/2021;19:00
864475;02/12/2021;06:45;02/12/2021;19:00
3923118;02/12/2021;06:45;02/12/2021;19:00
863899;02/12/2021;06:45;02/12/2021;19:00
865710;02/12/2021;06:45;02/12/2021;19:00
865290;02/12/2021;06:45;02/12/2021;19:00
863862;02/12/2021;06:45;02/12/2021;19:00
863861;02/12/2021;06:45;02/12/2021;19:00
865235;02/12/2021;06:45;02/12/2021;19:00
3899713;02/12/2021;06:45;02/12/2021;19:00
3923160;02/12/2021;06:45;02/12/2021;19:00
865557;02/12/2021;06:45;02/12/2021;19:00
864324;02/12/2021;06:45;02/12/2021;19:00
5034317;02/12/2021;06:45;02/12/2021;19:00
863084;02/12/2021;06:45;02/12/2021;19:00
864683;02/12/2021;06:45;02/12/2021;19:00
5027462;02/12/2021;06:45;02/12/2021;19:00
865714;02/12/2021;06:45;02/12/2021;19:00
3476192;02/12/2021;06:45;02/12/2021;19:00
3923179;02/12/2021;06:45;02/12/2021;19:00
868093;02/12/2021;06:45;02/12/2021;19:00
5033693;02/12/2021;14:40;03/12/2021;02:00
864638;02/12/2021;06:45;02/12/2021;19:00
865292;02/12/2021;06:45;02/12/2021;19:00
864538;02/12/2021;14:40;03/12/2021;02:00
869404;02/12/2021;12:00;02/12/2021;23:00
863442;02/12/2021;07:40;02/12/2021;18:00
5030764;02/12/2021;05:40;02/12/2021;18:00
