RE;Data;Horário Entrada;Data;Horário Saída
5159935;31/08/2022;21:30;01/09/2022;08:20
5159935;01/09/2022;21:30;02/09/2022;08:20
5159935;02/09/2022;21:30;03/09/2022;08:20
;;;;
